ticker,ipo_date,board_note
DWGL,13 Des 2017,PENGEMBANGAN
PBID,13 Des 2017,UTAMA
JMAS,18 Des 2017,PENGEMBANGAN
CAMP,19 Des 2017,PENGEMBANGAN
IPCM,22 Des 2017,UTAMA
PCAR,29 Des 2017,PEMANTAUAN KHUSUS
LCKM,2018-01-16 00:00:00,PENGEMBANGAN
BOSS,2018-02-15 00:00:00,PEMANTAUAN KHUSUS
HELI,2018-03-27 00:00:00,PENGEMBANGAN
JSKY,2018-03-28 00:00:00,PEMANTAUAN KHUSUS
INPS,2018-04-06 00:00:00,PEMANTAUAN KHUSUS
GHON,2018-04-09 00:00:00,PENGEMBANGAN
TDPM,2018-04-09 00:00:00,PEMANTAUAN KHUSUS
DFAM,2018-04-27 00:00:00,PENGEMBANGAN
NICK,02 Mei 2018,PENGEMBANGAN
BTPS,08 Mei 2018,UTAMA
SPTO,14 Mei 2018,UTAMA
PRIM,15 Mei 2018,PENGEMBANGAN
HEAL,16 Mei 2018,UTAMA
TRUK,23 Mei 2018,PENGEMBANGAN
PZZA,23 Mei 2018,PENGEMBANGAN
TUGU,28 Mei 2018,UTAMA
MSIN,2018-06-08 00:00:00,UTAMA
SWAT,2018-06-08 00:00:00,PEMANTAUAN KHUSUS
TNCA,2018-06-28 00:00:00,PENGEMBANGAN
MAPA,2018-07-05 00:00:00,UTAMA
TCPI,2018-07-06 00:00:00,PENGEMBANGAN
IPCC,2018-07-09 00:00:00,UTAMA
RISE,2018-07-09 00:00:00,PENGEMBANGAN
BPTR,2018-07-09 00:00:00,PENGEMBANGAN
POLL,2018-07-11 00:00:00,PEMANTAUAN KHUSUS
NFCX,2018-07-12 00:00:00,PENGEMBANGAN
MGRO,2018-07-12 00:00:00,PENGEMBANGAN
NUSA,2018-07-12 00:00:00,PEMANTAUAN KHUSUS
FILM,07 Agt 2018,UTAMA
ANDI,16 Agt 2018,PEMANTAUAN KHUSUS
LAND,23 Agt 2018,PEMANTAUAN KHUSUS
MOLI,30 Agt 2018,PENGEMBANGAN
PANI,2018-09-18 00:00:00,UTAMA
DIGI,2018-09-18 00:00:00,PEMANTAUAN KHUSUS
CITY,2018-09-28 00:00:00,PENGEMBANGAN
SAPX,03 Okt 2018,PENGEMBANGAN
SURE,05 Okt 2018,PENGEMBANGAN
HKMU,09 Okt 2018,PEMANTAUAN KHUSUS
MPRO,09 Okt 2018,PENGEMBANGAN
DUCK,10 Okt 2018,PEMANTAUAN KHUSUS
GOOD,10 Okt 2018,UTAMA
SKRN,11 Okt 2018,UTAMA
YELO,29 Okt 2018,PEMANTAUAN KHUSUS
CAKK,31 Okt 2018,PENGEMBANGAN
SATU,2018-11-05 00:00:00,PENGEMBANGAN
SOSS,2018-11-06 00:00:00,PEMANTAUAN KHUSUS
DEAL,2018-11-11 00:00:00,PEMANTAUAN KHUSUS
POLA,2018-11-16 00:00:00,PEMANTAUAN KHUSUS
DIVA,2018-11-27 00:00:00,PENGEMBANGAN
LUCK,2018-11-28 00:00:00,PENGEMBANGAN
URBN,10 Des 2018,PENGEMBANGAN
SOTS,10 Des 2018,PENGEMBANGAN
ZONE,12 Des 2018,PENGEMBANGAN
PEHA,26 Des 2018,PENGEMBANGAN
FOOD,2019-01-08 00:00:00,PEMANTAUAN KHUSUS
BEEF,2019-01-10 00:00:00,PENGEMBANGAN
POLI,2019-01-10 00:00:00,PEMANTAUAN KHUSUS
CLAY,2019-01-18 00:00:00,PENGEMBANGAN
NATO,2019-01-18 00:00:00,PEMANTAUAN KHUSUS
JAYA,2019-02-21 00:00:00,PENGEMBANGAN
COCO,2019-03-20 00:00:00,PENGEMBANGAN
MTPS,2019-04-10 00:00:00,PEMANTAUAN KHUSUS
CPRI,2019-04-11 00:00:00,PEMANTAUAN KHUSUS
HRME,2019-04-12 00:00:00,PEMANTAUAN KHUSUS
POSA,10 Mei 2019,PEMANTAUAN KHUSUS
JAST,16 Mei 2019,PENGEMBANGAN
FITT,2019-06-11 00:00:00,PENGEMBANGAN
BOLA,2019-06-17 00:00:00,UTAMA
CCSI,2019-06-18 00:00:00,PENGEMBANGAN
SFAN,2019-06-19 00:00:00,PENGEMBANGAN
POLU,2019-06-26 00:00:00,PENGEMBANGAN
KJEN,2019-07-01 00:00:00,PENGEMBANGAN
KAYU,2019-07-04 00:00:00,PEMANTAUAN KHUSUS
ITIC,2019-07-04 00:00:00,PENGEMBANGAN
PAMG,2019-07-05 00:00:00,PENGEMBANGAN
IPTV,2019-07-08 00:00:00,PEMANTAUAN KHUSUS
BLUE,2019-07-08 00:00:00,PENGEMBANGAN
ENVY,2019-07-08 00:00:00,PEMANTAUAN KHUSUS
EAST,2019-07-09 00:00:00,PENGEMBANGAN
LIFE,2019-07-09 00:00:00,PENGEMBANGAN
FUJI,2019-07-09 00:00:00,PENGEMBANGAN
KOTA,2019-07-09 00:00:00,PEMANTAUAN KHUSUS
INOV,2019-07-10 00:00:00,PENGEMBANGAN
ARKA,2019-07-10 00:00:00,PEMANTAUAN KHUSUS
SMKL,2019-07-11 00:00:00,PENGEMBANGAN
HDIT,2019-07-12 00:00:00,PENGEMBANGAN
KEEN,2019-09-02 00:00:00,UTAMA
BAPI,2019-09-16 00:00:00,PEMANTAUAN KHUSUS
TFAS,2019-09-17 00:00:00,PENGEMBANGAN
GGRP,2019-09-19 00:00:00,PENGEMBANGAN
OPMS,2019-09-23 00:00:00,PENGEMBANGAN
NZIA,2019-09-25 00:00:00,PENGEMBANGAN
SLIS,07 Okt 2019,PENGEMBANGAN
PURE,09 Okt 2019,PEMANTAUAN KHUSUS
IRRA,15 Okt 2019,PENGEMBANGAN
DMMX,21 Okt 2019,PENGEMBANGAN
SINI,2019-11-08 00:00:00,PEMANTAUAN KHUSUS
WOWS,2019-11-08 00:00:00,PENGEMBANGAN
ESIP,2019-11-14 00:00:00,PENGEMBANGAN
TEBE,2019-11-18 00:00:00,UTAMA
KEJU,2019-11-25 00:00:00,UTAMA
PSGO,2019-11-25 00:00:00,UTAMA
AGAR,02 Des 2019,PENGEMBANGAN
IFSH,05 Des 2019,PENGEMBANGAN
REAL,06 Des 2019,PENGEMBANGAN
IFII,10 Des 2019,PENGEMBANGAN
PMJS,18 Des 2019,PENGEMBANGAN
UCID,20 Des 2019,UTAMA
GLVA,23 Des 2019,PENGEMBANGAN
PGJO,2020-01-08 00:00:00,AKSELERASI
AMAR,2020-01-09 00:00:00,PENGEMBANGAN
CSRA,2020-01-09 00:00:00,UTAMA
INDO,2020-01-13 00:00:00,PENGEMBANGAN
AMOR,2020-01-14 00:00:00,PENGEMBANGAN
TRIN,2020-01-15 00:00:00,PENGEMBANGAN
DMND,2020-01-22 00:00:00,PENGEMBANGAN
PURA,2020-01-29 00:00:00,PEMANTAUAN KHUSUS
PTPW,2020-02-07 00:00:00,PENGEMBANGAN
TAMA,2020-02-10 00:00:00,PEMANTAUAN KHUSUS
IKAN,2020-02-12 00:00:00,PENGEMBANGAN
SAMF,2020-03-31 00:00:00,UTAMA
SBAT,2020-04-08 00:00:00,PEMANTAUAN KHUSUS
KBAG,2020-04-08 00:00:00,PEMANTAUAN KHUSUS
CBMF,2020-04-09 00:00:00,PEMANTAUAN KHUSUS
RONY,2020-04-09 00:00:00,PENGEMBANGAN
CSMI,2020-04-09 00:00:00,PENGEMBANGAN
BBSS,2020-04-15 00:00:00,PENGEMBANGAN
BHAT,2020-04-15 00:00:00,PENGEMBANGAN
CASH,04 Mei 2020,AKSELERASI
TECH,2020-06-04 00:00:00,PEMANTAUAN KHUSUS
EPAC,2020-07-01 00:00:00,PEMANTAUAN KHUSUS
UANG,2020-07-06 00:00:00,PENGEMBANGAN
PGUN,2020-07-07 00:00:00,PENGEMBANGAN
SOFA,2020-07-07 00:00:00,AKSELERASI
PPGL,2020-07-20 00:00:00,AKSELERASI
TOYS,06 Agt 2020,PEMANTAUAN KHUSUS
SGER,10 Agt 2020,UTAMA
TRJA,27 Agt 2020,PENGEMBANGAN
PNGO,31 Agt 2020,UTAMA
SCNP,2020-09-07 00:00:00,PENGEMBANGAN
BBSI,2020-09-07 00:00:00,UTAMA
KMDS,2020-09-07 00:00:00,PENGEMBANGAN
PURI,2020-09-08 00:00:00,PENGEMBANGAN
SOHO,2020-09-08 00:00:00,PENGEMBANGAN
HOMI,2020-09-10 00:00:00,PENGEMBANGAN
ROCK,2020-09-10 00:00:00,PENGEMBANGAN
ENZO,2020-09-14 00:00:00,PEMANTAUAN KHUSUS
PLAN,2020-09-15 00:00:00,AKSELERASI
PTDU,08 Des 2020,PEMANTAUAN KHUSUS
ATAP,11 Des 2020,PENGEMBANGAN
VICI,17 Des 2020,UTAMA
PMMP,18 Des 2020,PEMANTAUAN KHUSUS
BANK,2021-02-01 00:00:00,PENGEMBANGAN
WMUU,2021-02-02 00:00:00,PEMANTAUAN KHUSUS
EDGE,2021-02-08 00:00:00,PENGEMBANGAN
UNIQ,2021-03-08 00:00:00,UTAMA
BEBS,2021-03-10 00:00:00,PEMANTAUAN KHUSUS
SNLK,2021-03-29 00:00:00,PENGEMBANGAN
ZYRX,2021-03-30 00:00:00,PENGEMBANGAN
LFLO,2021-04-07 00:00:00,AKSELERASI
FIMP,2021-04-09 00:00:00,PEMANTAUAN KHUSUS
TAPG,2021-04-12 00:00:00,UTAMA
NPGF,2021-04-14 00:00:00,PENGEMBANGAN
LUCY,05 Mei 2021,AKSELERASI
ADCP,21 Mei 2021,PENGEMBANGAN
HOPE,24 Mei 2021,PENGEMBANGAN
MGLV,2021-06-08 00:00:00,PEMANTAUAN KHUSUS
True,2021-06-10 00:00:00,PENGEMBANGAN
LABA,2021-06-10 00:00:00,PENGEMBANGAN
ARCI,2021-06-28 00:00:00,PENGEMBANGAN
IPAC,2021-06-30 00:00:00,AKSELERASI
MASB,2021-06-30 00:00:00,PENGEMBANGAN
BMHS,2021-07-06 00:00:00,UTAMA
FLMC,2021-07-08 00:00:00,AKSELERASI
NICL,2021-07-09 00:00:00,PENGEMBANGAN
UVCR,2021-07-27 00:00:00,PENGEMBANGAN
BUKA,06 Agt 2021,EKONOMI BARU
HAIS,2021-09-01 00:00:00,PENGEMBANGAN
OILS,2021-09-06 00:00:00,PENGEMBANGAN
GPSO,2021-09-06 00:00:00,PENGEMBANGAN
MCOL,2021-09-07 00:00:00,UTAMA
RSGK,2021-09-08 00:00:00,PEMANTAUAN KHUSUS
RUNS,2021-09-08 00:00:00,AKSELERASI
SBMA,2021-09-08 00:00:00,PENGEMBANGAN
CMNT,2021-09-08 00:00:00,PENGEMBANGAN
GTSI,2021-09-08 00:00:00,UTAMA
IDEA,2021-09-09 00:00:00,AKSELERASI
KUAS,25 Okt 2021,PENGEMBANGAN
BOBA,2021-11-01 00:00:00,PENGEMBANGAN
MTEL,2021-11-22 00:00:00,UTAMA
DEPO,2021-11-25 00:00:00,PENGEMBANGAN
BINO,2021-11-25 00:00:00,PENGEMBANGAN
CMRY,06 Des 2021,UTAMA
WGSH,06 Des 2021,AKSELERASI
TAYS,06 Des 2021,PENGEMBANGAN
WMPP,06 Des 2021,PEMANTAUAN KHUSUS
RMKE,07 Des 2021,UTAMA
OBMD,08 Des 2021,PENGEMBANGAN
AVIA,08 Des 2021,UTAMA
IPPE,09 Des 2021,PEMANTAUAN KHUSUS
NASI,13 Des 2021,PENGEMBANGAN
BSML,16 Des 2021,PENGEMBANGAN
DRMA,20 Des 2021,UTAMA
ADMR,2022-01-03 00:00:00,UTAMA
SEMA,2022-01-10 00:00:00,PENGEMBANGAN
ASLC,2022-01-25 00:00:00,PENGEMBANGAN
NETV,2022-01-26 00:00:00,PENGEMBANGAN
BAUT,2022-01-28 00:00:00,PEMANTAUAN KHUSUS
ENAK,2022-02-08 00:00:00,PENGEMBANGAN
NTBK,2022-02-09 00:00:00,PENGEMBANGAN
SMKM,2022-03-09 00:00:00,AKSELERASI
STAA,2022-03-10 00:00:00,UTAMA
NANO,2022-03-10 00:00:00,AKSELERASI
BIKE,2022-03-21 00:00:00,PENGEMBANGAN
WIRG,2022-04-04 00:00:00,PENGEMBANGAN
SICO,2022-04-08 00:00:00,PENGEMBANGAN
GOTO,2022-04-11 00:00:00,EKONOMI BARU
TLDN,2022-04-12 00:00:00,PENGEMBANGAN
MTMH,2022-04-20 00:00:00,UTAMA
WINR,2022-04-25 00:00:00,PEMANTAUAN KHUSUS
IBOS,2022-04-25 00:00:00,AKSELERASI
OLIV,17 Mei 2022,AKSELERASI
ASHA,27 Mei 2022,PENGEMBANGAN
SWID,2022-07-07 00:00:00,PENGEMBANGAN
TRGU,2022-07-08 00:00:00,UTAMA
ARKO,2022-07-08 00:00:00,PENGEMBANGAN
CHEM,2022-07-08 00:00:00,PENGEMBANGAN
DEWI,2022-07-18 00:00:00,PENGEMBANGAN
AXIO,2022-07-20 00:00:00,PENGEMBANGAN
KRYA,2022-07-25 00:00:00,PENGEMBANGAN
HATM,2022-07-26 00:00:00,UTAMA
RCCC,02 Agt 2022,AKSELERASI
GULA,03 Agt 2022,PENGEMBANGAN
JARR,04 Agt 2022,UTAMA
AMMS,04 Agt 2022,AKSELERASI
RAFI,05 Agt 2022,PEMANTAUAN KHUSUS
KKES,08 Agt 2022,PEMANTAUAN KHUSUS
ELPI,08 Agt 2022,UTAMA
EURO,08 Agt 2022,AKSELERASI
KLIN,09 Agt 2022,AKSELERASI
TOOL,09 Agt 2022,PENGEMBANGAN
BUAH,09 Agt 2022,PENGEMBANGAN
CRAB,10 Agt 2022,PENGEMBANGAN
MEDS,10 Agt 2022,PENGEMBANGAN
COAL,2022-09-07 00:00:00,PENGEMBANGAN
PRAY,2022-11-08 00:00:00,PENGEMBANGAN
CBUT,2022-11-08 00:00:00,PENGEMBANGAN
BELI,2022-11-08 00:00:00,EKONOMI BARU
MKTR,2022-11-08 00:00:00,UTAMA
OMED,2022-11-08 00:00:00,UTAMA
BSBK,2022-11-08 00:00:00,PENGEMBANGAN
PDPP,2022-11-09 00:00:00,PENGEMBANGAN
KDTN,2022-11-09 00:00:00,PENGEMBANGAN
ZATA,2022-11-10 00:00:00,PENGEMBANGAN
NINE,05 Des 2022,AKSELERASI
MMIX,06 Des 2022,PENGEMBANGAN
PADA,08 Des 2022,PENGEMBANGAN
ISAP,09 Des 2022,AKSELERASI
VTNY,15 Des 2022,PENGEMBANGAN
SOUL,2023-01-06 00:00:00,AKSELERASI
ELIT,2023-01-06 00:00:00,PENGEMBANGAN
BEER,2023-01-06 00:00:00,PENGEMBANGAN
CBPE,2023-01-06 00:00:00,PENGEMBANGAN
SUNI,2023-01-09 00:00:00,UTAMA
CBRE,2023-01-09 00:00:00,PENGEMBANGAN
WINE,2023-01-10 00:00:00,PENGEMBANGAN
BMBL,2023-01-11 00:00:00,AKSELERASI
PEVE,2023-01-24 00:00:00,PENGEMBANGAN
LAJU,2023-01-27 00:00:00,PENGEMBANGAN
FWCT,2023-02-01 00:00:00,PENGEMBANGAN
NAYZ,2023-02-06 00:00:00,AKSELERASI
IRSX,2023-02-07 00:00:00,PENGEMBANGAN
PACK,2023-02-08 00:00:00,AKSELERASI
VAST,2023-02-08 00:00:00,PENGEMBANGAN
CHIP,2023-02-08 00:00:00,AKSELERASI
HALO,2023-02-08 00:00:00,PENGEMBANGAN
KING,2023-02-16 00:00:00,AKSELERASI
PGEO,2023-02-24 00:00:00,UTAMA
FUTR,2023-02-27 00:00:00,PENGEMBANGAN
HILL,2023-03-01 00:00:00,UTAMA
BDKR,2023-03-03 00:00:00,UTAMA
PTMP,2023-03-06 00:00:00,PENGEMBANGAN
SAGE,2023-03-08 00:00:00,PEMANTAUAN KHUSUS
TRON,2023-03-08 00:00:00,PENGEMBANGAN
CUAN,2023-03-08 00:00:00,UTAMA
NSSS,2023-03-10 00:00:00,PENGEMBANGAN
GTRA,2023-03-30 00:00:00,PENGEMBANGAN
HAJJ,2023-04-05 00:00:00,AKSELERASI
JATI,08 Mei 2023,PENGEMBANGAN
TYRE,08 Mei 2023,PENGEMBANGAN
MPXL,09 Mei 2023,PENGEMBANGAN
SMIL,12 Mei 2023,UTAMA
KLAS,2023-06-12 00:00:00,PENGEMBANGAN
MAXI,2023-06-12 00:00:00,PENGEMBANGAN
VKTR,2023-06-19 00:00:00,PENGEMBANGAN
RELF,2023-06-22 00:00:00,AKSELERASI
AMMN,2023-07-07 00:00:00,UTAMA
CRSN,2023-07-10 00:00:00,PENGEMBANGAN
GRPM,2023-07-10 00:00:00,AKSELERASI
WIDI,2023-07-10 00:00:00,AKSELERASI
TGUK,2023-07-10 00:00:00,PEMANTAUAN KHUSUS
INET,2023-07-24 00:00:00,PENGEMBANGAN
MAHA,2023-07-25 00:00:00,UTAMA
RMKO,2023-07-31 00:00:00,PEMANTAUAN KHUSUS
CNMA,02 Agt 2023,PENGEMBANGAN
FOLK,07 Agt 2023,PENGEMBANGAN
HBAT,07 Agt 2023,AKSELERASI
GRIA,08 Agt 2023,PENGEMBANGAN
PPRI,08 Agt 2023,PENGEMBANGAN
ERAL,08 Agt 2023,UTAMA
CYBR,08 Agt 2023,PENGEMBANGAN
MUTU,09 Agt 2023,PENGEMBANGAN
LMAX,09 Agt 2023,AKSELERASI
HUMI,09 Agt 2023,PENGEMBANGAN
MSIE,10 Agt 2023,AKSELERASI
RSCH,28 Agt 2023,PENGEMBANGAN
BABY,2023-09-07 00:00:00,PENGEMBANGAN
AEGS,2023-09-11 00:00:00,AKSELERASI
IOTF,06 Okt 2023,PENGEMBANGAN
KOCI,07 Okt 2023,PENGEMBANGAN
PTPS,09 Okt 2023,PENGEMBANGAN
BREN,09 Okt 2023,UTAMA
STRK,10 Okt 2023,PENGEMBANGAN
KOKA,11 Okt 2023,PENGEMBANGAN
LOPI,11 Okt 2023,AKSELERASI
UDNG,31 Okt 2023,AKSELERASI
RGAS,2023-11-08 00:00:00,PENGEMBANGAN
MSTI,2023-11-08 00:00:00,UTAMA
IKPM,2023-11-08 00:00:00,PENGEMBANGAN
AYAM,2023-11-30 00:00:00,PENGEMBANGAN
SURI,07 Des 2023,PENGEMBANGAN
ASLI,2024-01-05 00:00:00,PENGEMBANGAN
GRPH,2024-01-17 00:00:00,PENGEMBANGAN
SMGA,2024-01-30 00:00:00,PENGEMBANGAN
UNTD,2024-02-07 00:00:00,PENGEMBANGAN
TOSK,2024-02-07 00:00:00,PENGEMBANGAN
MPIX,2024-02-07 00:00:00,PENGEMBANGAN
ALII,2024-02-07 00:00:00,UTAMA
MKAP,2024-02-12 00:00:00,PENGEMBANGAN
MEJA,2024-02-12 00:00:00,AKSELERASI
LIVE,2024-02-12 00:00:00,PENGEMBANGAN
HYGN,2024-02-13 00:00:00,PENGEMBANGAN
BAIK,2024-02-15 00:00:00,PENGEMBANGAN
VISI,2024-02-27 00:00:00,PENGEMBANGAN
AREA,2024-04-01 00:00:00,PENGEMBANGAN
MHKI,2024-04-16 00:00:00,PENGEMBANGAN
ATLA,2024-04-16 00:00:00,PENGEMBANGAN
DATA,07 Mei 2024,PENGEMBANGAN
SOLA,08 Mei 2024,PENGEMBANGAN
BATR,2024-06-10 00:00:00,PENGEMBANGAN
SPRE,2024-07-03 00:00:00,AKSELERASI
PART,2024-07-05 00:00:00,PENGEMBANGAN
GOLF,2024-07-08 00:00:00,UTAMA
ISEA,2024-07-08 00:00:00,PENGEMBANGAN
BLES,2024-07-08 00:00:00,PENGEMBANGAN
GUNA,2024-07-09 00:00:00,PENGEMBANGAN
LABS,2024-07-10 00:00:00,PENGEMBANGAN
DOSS,07 Agt 2024,PENGEMBANGAN
NEST,08 Agt 2024,PENGEMBANGAN
PTMR,08 Okt 2024,PEMANTAUAN KHUSUS
VERN,08 Okt 2024,PENGEMBANGAN
DAAZ,2024-11-11 00:00:00,UTAMA
BOAT,2024-11-12 00:00:00,PENGEMBANGAN
NAIK,2024-11-13 00:00:00,PENGEMBANGAN
AADI,05 Des 2024,UTAMA
MDIY,19 Des 2024,UTAMA
KSIX,2025-01-08 00:00:00,PENGEMBANGAN
RATU,2025-01-08 00:00:00,PENGEMBANGAN
YOII,2025-01-08 00:00:00,PENGEMBANGAN
HGII,2025-01-09 00:00:00,PENGEMBANGAN
BRRC,2025-01-09 00:00:00,PENGEMBANGAN
DGWG,2025-01-13 00:00:00,UTAMA
CBDK,2025-01-13 00:00:00,UTAMA
OBAT,2025-01-13 00:00:00,PENGEMBANGAN
MINE,2025-03-10 00:00:00,UTAMA
ASPR,2025-07-08 00:00:00,PENGEMBANGAN
PSAT,2025-07-08 00:00:00,UTAMA
COIN,2025-07-09 00:00:00,PENGEMBANGAN
CDIA,2025-07-09 00:00:00,PENGEMBANGAN
BLOG,2025-07-10 00:00:00,UTAMA
MERI,2025-07-10 00:00:00,PENGEMBANGAN
CHEK,2025-07-10 00:00:00,PENGEMBANGAN
PMUI,2025-07-10 00:00:00,PENGEMBANGAN
EMAS,2025-09-23 00:00:00,PENGEMBANGAN
PJHB,2025-11-06 00:00:00,PENGEMBANGAN
RLCO,08 Des 2025,PENGEMBANGAN
SUPA,17 Des 2025,PENGEMBANGAN
KAQI,2025-03-10 00:00:00,PENGEMBANGAN
YUPI,2025-03-25 00:00:00,UTAMA
FORE,2025-04-14 00:00:00,PENGEMBANGAN
MDLA,2025-04-15 00:00:00,UTAMA
DKHH,08 Mei 2025,PENGEMBANGAN
AYLS,2020-02-12 00:00:00,PENGEMBANGAN
DADA,2020-02-14 00:00:00,PENGEMBANGAN
ASPI,2020-02-17 00:00:00,PENGEMBANGAN
ESTA,2020-03-09 00:00:00,PEMANTAUAN KHUSUS
BESS,2020-03-09 00:00:00,PENGEMBANGAN
AMAN,2020-03-13 00:00:00,PENGEMBANGAN
CARE,2020-03-13 00:00:00,PENGEMBANGAN
PIPA,2023-04-10 00:00:00,PENGEMBANGAN
NCKL,2023-04-12 00:00:00,UTAMA
MENN,2023-04-18 00:00:00,AKSELERASI
AWAN,2023-04-18 00:00:00,PENGEMBANGAN
MBMA,2023-04-18 00:00:00,UTAMA
RAAM,08 Mei 2023,UTAMA
DOOH,08 Mei 2023,PENGEMBANGAN
CGAS,2024-01-08 00:00:00,PENGEMBANGAN
NICE,2024-01-09 00:00:00,PENGEMBANGAN
MSJA,2024-01-10 00:00:00,PENGEMBANGAN
SMLE,2024-01-10 00:00:00,PENGEMBANGAN
ACRO,2024-01-11 00:00:00,PENGEMBANGAN
MANG,2024-01-11 00:00:00,AKSELERASI
WIFI,30 Des 2020,PENGEMBANGAN
FAPA,2021-01-04 00:00:00,PENGEMBANGAN
DCII,2021-01-06 00:00:00,PENGEMBANGAN
KETR,2021-01-11 00:00:00,PENGEMBANGAN
DGNS,2021-01-15 00:00:00,PENGEMBANGAN
UFOE,2021-02-01 00:00:00,PENGEMBANGAN
ADMF,2004-03-31 00:00:00,PENGEMBANGAN
ADMG,20 Okt 1993,PENGEMBANGAN
ADRO,2008-07-16 00:00:00,UTAMA
AGII,2016-09-28 00:00:00,PENGEMBANGAN
AGRO,08 Agt 2003,UTAMA
AGRS,22 Des 2014,PENGEMBANGAN
AHAP,1990-09-14 00:00:00,PENGEMBANGAN
AIMS,2001-07-20 00:00:00,PENGEMBANGAN
