ticker,ipo_date,board_note
PDES,2008-07-08 00:00:00,PENGEMBANGAN
PEGE,2005-06-24 00:00:00,PENGEMBANGAN
PGAS,15 Des 2003,UTAMA
PGLI,2000-04-05 00:00:00,PENGEMBANGAN
PICO,1996-09-23 00:00:00,PENGEMBANGAN
PJAA,2004-07-02 00:00:00,PENGEMBANGAN
PKPK,2007-07-11 00:00:00,PENGEMBANGAN
PLAS,2001-03-16 00:00:00,PEMANTAUAN KHUSUS
PLIN,1992-06-15 00:00:00,PEMANTAUAN KHUSUS
PNBN,29 Des 1982,UTAMA
PNBS,2014-01-15 00:00:00,PENGEMBANGAN
PNIN,1983-09-20 00:00:00,UTAMA
PNLF,1983-06-14 00:00:00,UTAMA
PNSE,01 Mei 1990,PENGEMBANGAN
POLY,1991-03-12 00:00:00,PEMANTAUAN KHUSUS
POOL,20 Mei 1991,PEMANTAUAN KHUSUS
PPRO,19 Mei 2015,PEMANTAUAN KHUSUS
PSAB,2003-04-22 00:00:00,PENGEMBANGAN
PSDN,18 Okt 1994,PENGEMBANGAN
PSKT,1995-09-19 00:00:00,PENGEMBANGAN
PTBA,23 Des 2002,UTAMA
PTIS,2011-07-12 00:00:00,PENGEMBANGAN
PTPP,2010-02-09 00:00:00,UTAMA
PTRO,21 Mei 1990,UTAMA
PTSN,2007-11-08 00:00:00,PENGEMBANGAN
PTSP,30 Mei 1994,PENGEMBANGAN
PUDP,1994-11-18 00:00:00,PENGEMBANGAN
PWON,09 Okt 1989,UTAMA
PYFA,16 Okt 2001,PENGEMBANGAN
RAJA,2006-04-19 00:00:00,UTAMA
RALS,1996-07-24 00:00:00,UTAMA
RANC,2012-06-07 00:00:00,PENGEMBANGAN
RBMS,19 Des 1997,PEMANTAUAN KHUSUS
RDTX,14 Mei 1990,PENGEMBANGAN
RELI,2005-07-13 00:00:00,PENGEMBANGAN
RICY,1998-01-22 00:00:00,PEMANTAUAN KHUSUS
RIGS,1990-03-05 00:00:00,PENGEMBANGAN
RIMO,2000-11-10 00:00:00,PEMANTAUAN KHUSUS
RODA,22 Okt 2001,PEMANTAUAN KHUSUS
ROTI,2010-06-28 00:00:00,PENGEMBANGAN
RUIS,2006-07-12 00:00:00,PENGEMBANGAN
SAFE,15 Agt 1994,PENGEMBANGAN
SAME,2013-01-11 00:00:00,UTAMA
SCCO,1982-07-20 00:00:00,PENGEMBANGAN
SCMA,2002-07-16 00:00:00,UTAMA
SCPI,1990-06-08 00:00:00,PEMANTAUAN KHUSUS
SDMU,2011-07-12 00:00:00,PENGEMBANGAN
SDPC,07 Mei 1990,PENGEMBANGAN
SDRA,15 Des 2006,PENGEMBANGAN
SGRO,2007-06-18 00:00:00,UTAMA
SHID,08 Mei 1990,PENGEMBANGAN
SIDO,18 Des 2013,UTAMA
SILO,2013-09-12 00:00:00,UTAMA
SIMA,1994-06-03 00:00:00,PEMANTAUAN KHUSUS
SIMP,2011-06-09 00:00:00,UTAMA
SIPD,27 Des 1996,PEMANTAUAN KHUSUS
SKBM,2012-09-28 00:00:00,PENGEMBANGAN
SKLT,1993-09-08 00:00:00,PENGEMBANGAN
SKYB,2010-07-07 00:00:00,PEMANTAUAN KHUSUS
SMAR,1992-11-20 00:00:00,UTAMA
SMBR,2013-06-28 00:00:00,UTAMA
SMCB,10 Agt 1977,PEMANTAUAN KHUSUS
SMDM,12 Okt 1995,PENGEMBANGAN
SMDR,1999-07-05 00:00:00,UTAMA
