Ticker,Period Type,Period End,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,EBIT,EBITDA,NetIncome,PretaxIncome,TaxProvision,InterestExpense,DilutedAverageShares,TotalAssets,TotalLiabilitiesNetMinorityInterest,StockholdersEquity,CashAndCashEquivalents,TotalDebt,LongTermDebt,CurrentAssets,CurrentLiabilities,WorkingCapital,Inventory,AccountsReceivable,AccountsPayable,RetainedEarnings,InvestedCapital,OperatingCashFlow,CapitalExpenditure,FreeCashFlow
ITMG,annual,2024-12-31,41268932276000.0,28754642796000.0,12514289480000.0,8563193716000.0,8924183180000.0,8947463580000.0,6699723052000.0,8861254468000.0,2134991760000.0,62928712000.0,1129925000.0,43096389952000.0,8465720472000.0,34527823836000.0,17735438512000.0,1296413844000.0,803424512000.0,25156334632000.0,5620945132000.0,19535389500000.0,1513512528000.0,3290380104000.0,2380671612000.0,26513313332000.0,35772286572000.0,,-1602819724000.0,6493978040000.0
ITMG,annual,2025-12-31,33686864156000.0,25040219160000.0,8646644996000.0,4775812888000.0,5305137552000.0,5887451988000.0,3419353520000.0,5143428312000.0,1657188412000.0,161709240000.0,1129677000.0,43087776204000.0,8913384656000.0,33996332304000.0,14468696968000.0,1588170980000.0,574828892000.0,23201676432000.0,6169574620000.0,17032101812000.0,2015348412000.0,2780199092000.0,2826777800000.0,26227823996000.0,34686363360000.0,,-2144178564000.0,2968197276000.0
PTBA,annual,2021-12-31,,,,,,,,,,,,,,,,,2240000000.0,,,,,,,,,,,
PTBA,annual,2022-12-31,42648590000000.0,24682304000000.0,17966286000000.0,14563089000000.0,16342776000000.0,16608928000000.0,12567582000000.0,16202314000000.0,3422887000000.0,140462000000.0,11487209350.0,45359207000000.0,16443161000000.0,28705068000000.0,7030343000000.0,1362201000000.0,0.0,24432148000000.0,10701780000000.0,13730368000000.0,3837187000000.0,3509912000000.0,1935818000000.0,12561417000000.0,28707308000000.0,,-904814000000.0,11622625000000.0
PTBA,annual,2023-12-31,38488867000000.0,29331562000000.0,9157305000000.0,6731359000000.0,8270277000000.0,8582028000000.0,6105856000000.0,8154313000000.0,1861792000000.0,115964000000.0,11487209350.0,38765189000000.0,17201993000000.0,21434538000000.0,4138867000000.0,1301682000000.0,,15148356000000.0,9968101000000.0,5180255000000.0,5499614000000.0,3797292000000.0,2082188000000.0,5288732000000.0,21502538000000.0,,-1009557000000.0,2095150000000.0
PTBA,annual,2024-12-31,42764968000000.0,34562758000000.0,8202210000000.0,5225604000000.0,6433535000000.0,6732543000000.0,5103720000000.0,6259246000000.0,1119823000000.0,174289000000.0,11507459013.0,41785576000000.0,19141764000000.0,22505288000000.0,4132858000000.0,2251033000000.0,0.0,15233514000000.0,11974820000000.0,3258694000000.0,4869337000000.0,5030071000000.0,2920012000000.0,5868485000000.0,23902968000000.0,,-1231886000000.0,3817304000000.0
PTBA,annual,2025-12-31,42651724000000.0,36394624000000.0,6257100000000.0,2947327000000.0,3995860000000.0,4295996000000.0,2929957000000.0,3773209000000.0,813973000000.0,222651000000.0,11520659250.0,43917063000000.0,21300262000000.0,22483714000000.0,4522194000000.0,3857183000000.0,1277425000000.0,14241193000000.0,12727127000000.0,1514066000000.0,4883306000000.0,3934867000000.0,3624478000000.0,5540602000000.0,25711239000000.0,,-3505367000000.0,2755461000000.0
TLKM,annual,2022-12-31,147306000000000.0,43624000000000.0,103682000000000.0,45898000000000.0,40507000000000.0,73636000000000.0,20736000000000.0,36430000000000.0,8710000000000.0,4077000000000.0,99062216599.0,274817000000000.0,125742000000000.0,129224000000000.0,31947000000000.0,62853000000000.0,27331000000000.0,55073000000000.0,70235000000000.0,-15162000000000.0,1144000000000.0,8634000000000.0,18457000000000.0,121730000000000.0,173604000000000.0,,-38269000000000.0,35085000000000.0
TLKM,annual,2023-12-31,149216000000000.0,46081000000000.0,103135000000000.0,43573000000000.0,43851000000000.0,78116000000000.0,23053000000000.0,39159000000000.0,8465000000000.0,4692000000000.0,99062216600.0,279552000000000.0,130357000000000.0,128536000000000.0,29007000000000.0,68001000000000.0,27773000000000.0,55628000000000.0,71451000000000.0,-15823000000000.0,997000000000.0,10948000000000.0,19049000000000.0,121106000000000.0,176235000000000.0,,-36420000000000.0,24161000000000.0
TLKM,annual,2024-12-31,149967000000000.0,48082000000000.0,101885000000000.0,41147000000000.0,42841000000000.0,76975000000000.0,22365000000000.0,37620000000000.0,8141000000000.0,5221000000000.0,99062216600.0,291011000000000.0,137151000000000.0,133602000000000.0,33905000000000.0,76834000000000.0,25518000000000.0,63094000000000.0,76723000000000.0,-13629000000000.0,1096000000000.0,12193000000000.0,15790000000000.0,125913000000000.0,186511000000000.0,,-29663000000000.0,31937000000000.0
TLKM,annual,2025-12-31,146742000000000.0,48252000000000.0,98490000000000.0,34119000000000.0,35717000000000.0,73370000000000.0,17486000000000.0,30509000000000.0,6541000000000.0,5208000000000.0,99061024659.0,287280000000000.0,137577000000000.0,130151000000000.0,34228000000000.0,75266000000000.0,26099000000000.0,61780000000000.0,74303000000000.0,-12523000000000.0,901000000000.0,11223000000000.0,16832000000000.0,122131000000000.0,180925000000000.0,,-25768000000000.0,38074000000000.0
UNVR,annual,2022-12-31,41218881000000.0,22153944000000.0,19064937000000.0,7068808000000.0,7079014000000.0,7504564000000.0,5364761000000.0,6993803000000.0,1629042000000.0,85211000000.0,38150000000.0,18318114000000.0,14320858000000.0,3997256000000.0,502882000000.0,1284026000000.0,,7567768000000.0,12442223000000.0,-4874455000000.0,2625116000000.0,3924499000000.0,4699974000000.0,3809696000000.0,4597256000000.0,,-638363000000.0,7422951000000.0
UNVR,annual,2023-12-31,38611401000000.0,19416887000000.0,19194514000000.0,6279283000000.0,6307846000000.0,6690717000000.0,4800940000000.0,6201876000000.0,1400936000000.0,105970000000.0,38150000000.0,16664086000000.0,13282848000000.0,3381238000000.0,1020598000000.0,750783000000.0,,6191839000000.0,11223968000000.0,-5032129000000.0,2422044000000.0,2343012000000.0,4063637000000.0,3193678000000.0,3381238000000.0,,-835028000000.0,6283060000000.0
UNVR,annual,2024-12-31,30622614000000.0,16062942000000.0,14559672000000.0,3807317000000.0,3823418000000.0,4038112000000.0,3368693000000.0,3751144000000.0,846496000000.0,72274000000.0,38150000000.0,16046195000000.0,13896928000000.0,2149267000000.0,671180000000.0,1980632000000.0,,5280548000000.0,11830201000000.0,-6549653000000.0,2505852000000.0,1880942000000.0,3983297000000.0,1961707000000.0,3599267000000.0,,-1072728000000.0,2887254000000.0
UNVR,annual,2025-12-31,31943461000000.0,16946367000000.0,14997094000000.0,4592021000000.0,4616468000000.0,4866625000000.0,7641161000000.0,4498280000000.0,960983000000.0,118188000000.0,38087000000.0,20017339000000.0,15542221000000.0,4475118000000.0,5705674000000.0,644841000000.0,,10544623000000.0,14222619000000.0,-3677996000000.0,2453106000000.0,1677683000000.0,4695329000000.0,4572603000000.0,4475118000000.0,,-862296000000.0,4935200000000.0
