Ticker,Name,Sector,Business Type,Price,Quality Score,Safety Score,Value Score,Composite Score,F-Score,Altman Z,Earnings Yield (EBIT/EV),ROC (Greenblatt),Acquirers Multiple,Net-Net Pass,NCAV per Share,EPV per Share,IV Bear,IV Base,IV Bull,MOS Bear,MOS Base,MOS Bull,Blended IV,MOS Blended,Upside Blended,Verdict,Reasons,Red Flags,Comparables IV,Justified PB IV,Quarters Stale,Latest Filing,Peer Group,Peer Count,Peer PE Median,Peer EV/EBIT Median,Peer PB Median
APII,Arita Prima Indonesia Tbk.,Industrials,Cyclical,189.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,Industrials | Industrial Goods | Machinery,4,14.416005681359687,9.823816834611925,1.0469873784900932
APLI,Asiaplast Industries Tbk.,Basic Materials,Cyclical,264.0,30.0,91.1,18.8,46.6,5,5.117661557082067,0.05109231673234261,0.05985113715089788,19.572414483349842,False,13.5805868404448,218.1877045997749,,,,,,,212.31021544712917,-0.24346348311131052,-0.19579463845784406,SKIP,MOS -24% below watch threshold 10%,Normalised EBIT 2.3x trailing - valuation assumes cycle recovery,202.51440019271968,,0.45,2026-06-30,Basic Materials | Containers & Packaging | Containers & Packaging | Containers & Packaging,9,19.006084751788784,13.236591015696982,0.9401486583379153
APLN,Agung Podomoro Land Tbk.,Properties & Real Estate,Cyclical,131.0,50.0,63.4,84.2,65.9,2,4.069876082767762,0.1443366502777072,0.07414954178234985,6.928247247500727,False,13.255958227519647,250.3187563218589,114.3872648221313,279.59349788469797,459.90621918778885,-0.1452323840744072,0.5314626377541036,0.7151593204559165,291.98070027251504,0.5513402088640329,1.228860307423779,WATCH,Cheap but F-Score 2/9 shows deteriorating fundamentals,,369.67540844881995,,0.45,2026-06-30,Properties & Real Estate | Real Estate | Real Estate Development | Real Estate Development,35,12.379916854923529,9.504502268830333,0.7706297288148782
ARCI,Archi Indonesia Tbk.,Basic Materials,Cyclical,1290.0,76.7,71.6,49.2,65.8,7,2.6760896142849413,0.11160091565353901,0.21845319948838374,8.960499957764359,False,-352.08904546693435,,,,,,,,848.2156853949575,-0.5208395956499354,-0.3424684609341414,SKIP,MOS -52% below watch threshold 10%,Trailing EBIT 3.4x mid-cycle - possible peak earnings,848.2156853949575,,1.45,2026-03-31,Basic Materials | Metals & Minerals,19,12.449518149274448,8.573447831556207,2.228715086990508
AREA,Dunia Virtual Online Tbk.,Technology,Ordinary,272.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,Technology | Software & IT Services | Online Applications & Services | Online Applications & Services,4,21.198769120872733,15.304424115402707,2.0753128335742566
ARGO,Argo Pantes Tbk.,Consumer Cyclicals,Ordinary,1195.0,60.0,28.3,18.8,35.7,6,-7.4403457561755655,0.0037271616482510922,0.018027845067499323,268.3006787401435,False,-244.68884325735073,,,80.35791955170451,188.5999342395429,,-13.870967375295274,-5.3361633969724345,78.9134447944154,-1.0,-0.9339636445235018,SKIP,MOS -100% below watch threshold 10%,Net debt/EBITDA 17.9x; Interest coverage 1.3x; Trailing EBIT -2.6x mid-cycle - possible peak earnings,76.6022851827528,,0.45,2026-06-30,Consumer Cyclicals,49,11.174937874788398,8.450289443602555,1.219026001317649
ARII,Atlas Resources Tbk.,Energy,Cyclical,282.0,51.7,60.0,70.5,60.7,9,-0.9629843642066988,0.4924954437217525,0.09621444223341533,2.030475637384728,False,-990.293263372401,,,,,,,,509.7848658397947,0.44682547698734254,0.8077477512049458,WATCH,"Cheap and sound, but flagged: Trailing EBIT 3.0x mid-cycle - possible peak earnings",Trailing EBIT 3.0x mid-cycle - possible peak earnings,509.78486583979463,,0.45,2026-06-30,"Energy | Oil, Gas & Coal | Coal | Coal Production",26,15.378032536083092,8.15902719908333,1.327597648369335
ARKA,Arkha Jayanti Persada Tbk.,Properties & Real Estate,Cyclical,22.0,50.0,41.9,29.2,40.4,4,1.640143969787992,0.046752882122178964,0.03931708439090109,21.389055703276373,False,-16.31219888874129,,,,,,,,33.784310417664,0.34881015098365364,0.5356504735301819,SKIP,Filings 3.4 quarters stale - not screenable,Net debt/EBITDA 17.2x; Interest coverage 1.3x,33.784310417664,,3.44,2025-09-30,Properties & Real Estate | Real Estate | Real Estate Development | Real Estate Development,35,12.379916854923529,9.504502268830333,0.7706297288148782
ARKO,Arkora Hydro Tbk.,Energy,Cyclical,4790.0,65.0,33.3,18.8,39.0,6,0.8376782784936889,0.009921672166520077,0.09442605813728275,100.78946201976149,False,-322.91587260094775,,0.3421434217897791,200.69147257283834,413.4493325778666,-13998.97689548767,-22.867481455952408,-10.585458295782542,229.81668752561808,-1.0,-0.9520215683662593,SKIP,MOS -100% below watch threshold 10%,Net debt/EBITDA 6.7x,249.2334974941379,,0.45,2026-06-30,Energy,48,12.769743421191965,8.117437974233383,1.3229373691448352
ARMY,Armidian Karyatama Tbk.,Energy,Cyclical,50.0,,,,,,,,,,False,,,,,,,,,,,,SKIP,No usable intrinsic value - cannot assess margin of safety,,,,,,"Energy | Oil, Gas & Coal | Coal | Coal Production",26,15.378032536083092,8.15902719908333,1.327597648369335
