Ticker,PBV x ROE,Close Price,Price to Equity Discount (%),Relative PE ratio (TTM),EPS Growth,Debt to Total Assets Ratio,Liquidity Differential,CCE,Operating Efficiency,Dividend Payout Efficiency,Yearly Price Change,Composite Rank,Net Debt to Equity
BBMD,0.07470084260048342,2000.0,-33.542925590772946,2.351829303534595,-0.03351941026399875,,,0.049355467383096395,,0.33841592324013153,-0.052132701421800945,0.4518,-0.14943680612586233
BBNI,0.1082783841238218,3660.0,18.34910768643331,0.5116134975401637,0.09806576409825082,0.04453355355385545,,0.14155346773010485,,0.629480821759143,-0.12857142857142856,0.6598,-0.8577475930874439
BBRI,0.2380580312865531,3140.0,-28.468747821793468,0.6369997215196458,0.02667809311699949,0.0919488579322651,,0.08048800027894684,,1.0928791507130515,-0.17585301837270342,0.5842,0.07624114139932922
BBRM,0.1638759164729978,118.0,-15.380884783466678,0.6612438439138749,0.19000251851105626,0.12897993687831386,10.27684710322058,0.24739714737459328,0.46111799031887507,0.0,0.5526315789473685,0.6006,-0.13807891068291075
BBSI,0.3784889714077747,4650.0,-79.13457283287994,4.708753386465134,2.424470773236378,0.000430949188202662,,0.08443072317639952,,0.0,0.15671641791044777,0.3925,-0.3756143847932901
BBSS,-0.0044610260171568826,98.0,-47.81685823051063,-63.873179235829205,-0.17792252911047707,0.0,103.57744895354573,0.0021987200320029245,-0.4738364085980421,0.0,-0.6287878787878788,0.4831,-0.002229846656692794
BBTN,0.05432528718723996,1240.0,115.81562303095465,0.3066521004543993,0.4321330957940047,0.11258938606367687,,0.05023320381314063,,0.17073877834095827,0.029045643153526972,0.7869,0.9051171251710165
BBYB,0.09460731606933465,270.0,22.606030143224544,0.5455886813225451,-0.01299821813748476,0.0019987373319959143,,0.16187222760063458,,0.0,-0.0625,0.6176,-0.6313743157022048
BCAP,0.02958894711461871,50.0,112.92098386151001,0.5784253195195435,0.2700482107693352,0.12131130194147402,2.6286741675669503,0.07947046102594656,0.4383270642397705,0.0,-0.18032786885245902,0.7719,0.27957248749455615
BCIC,-0.058795785001649226,129.0,67.83266706788919,-0.4685053450368351,-0.3761512802122113,0.01740193252497128,,0.06613759064288377,,,-0.2411764705882353,0.6014,-0.4951517174874065
BCIP,0.00900775770620457,64.0,457.8614999992272,0.2767860889249702,2.267400159728991,0.015972066401843815,2.5708214443126547,0.025606973795228652,0.2298707875582096,0.0,-0.3263157894736842,0.7392,-0.017232383415668857
BDKR,0.0317258184693496,162.0,6.468034677495699,2.1575577331871223,0.18626285776039506,0.1453693402408748,5.153157691263614,0.08163509628375563,0.11402120747163272,0.45486188804498334,0.05194805194805195,0.5609,0.0870631543988461
BDMN,0.06431385823665943,4410.0,26.02726102664804,0.7595916391644513,0.5012256014525647,0.06772586658609599,,0.06850524232898987,,0.3156435398434635,0.72265625,0.6439,-0.004323108872519642
BEBS,,5.0,,,,,,,,0.0,0.0,0.291,
BEEF,2.150909524876186,438.0,-89.602747843043,3.3369864188617178,-0.9742002770683976,0.6598924901697459,1.000339386876069,0.008886231443578281,0.02787259035806341,0.0,0.28823529411764703,0.3825,3.80797899342992
BEER,,74.0,,,,,,,,,-0.26732673267326734,0.2513,
BEKS,0.020668079617164176,22.0,67.30154347965315,1.3412622891158112,3.9122148426220043,0.00010065825886593041,,0.09010942716029015,,0.0,-0.043478260869565216,0.5619,-0.4903876624339173
BELI,-0.7337549380781061,254.0,-73.75013122826944,-1.5346467538389978,0.36009728166080857,0.1974693672980938,1.2441485690570637,0.08693090935736589,-0.040746747560983454,0.0,-0.33507853403141363,0.4085,0.22655079281628762
BELL,,119.0,,,,,,,,,1.38,0.4578,
BESS,0.40366941368741727,915.0,-78.76219827232592,4.261561570969708,,0.017503739094106928,6.48873519749676,0.2577325129274866,0.11882722746948159,0.26171006623530474,-0.09852216748768473,0.4298,-0.26208777534400796
BEST,0.008443748070839996,110.0,333.4482118371451,0.48910717853242297,5.072458396798414,0.18539546023360826,7.560448554844279,0.07087504960871405,0.5396656298488828,0.0,0.0891089108910891,0.7201,0.1438510763657112
BFIN,0.17733315560080976,900.0,-17.54861795632799,0.643617603223993,0.17040469326809973,0.5168945409220354,2.9732988372693776,0.05556970372821952,0.36664339358027087,0.6451633806843384,0.05263157894736842,0.5916,1.0562736432938473
BGTG,0.04220339848523832,112.0,40.12664023638557,0.9363212769357305,0.037370319413973896,0.0002984777902325772,,0.10627346209790431,,0.0,0.4177215189873418,0.5319,-0.31342628969509195
